[685603.561874] cpu=0	jifd=27	cycled=136449	insd=319257	cml2=730	bmd=10708
[685603.669910] cpu=0	jifd=27	cycled=143937	insd=360278	cml2=874	bmd=12064
[685603.777888] cpu=0	jifd=27	cycled=139518	insd=335179	cml2=870	bmd=11495
[685603.885913] cpu=0	jifd=27	cycled=280222	insd=411578	cml2=2461	bmd=13469
[685603.993922] cpu=0	jifd=27	cycled=533328	insd=3807099	cml2=19219	bmd=121614
[685604.101888] cpu=0	jifd=27	cycled=608816	insd=4489957	cml2=23272	bmd=131851
[685604.209890] cpu=0	jifd=27	cycled=135628	insd=213565	cml2=753	bmd=5058
[685604.317884] cpu=0	jifd=27	cycled=131042	insd=256383	cml2=597	bmd=6944
[685604.425886] cpu=0	jifd=27	cycled=142913	insd=364205	cml2=880	bmd=11799
[685604.533871] cpu=0	jifd=27	cycled=139306	insd=338964	cml2=840	bmd=10778
[685604.641906] cpu=0	jifd=27	cycled=148170	insd=373496	cml2=1068	bmd=11174
[685604.749881] cpu=0	jifd=27	cycled=126647	insd=189888	cml2=430	bmd=4566
[685604.857886] cpu=0	jifd=27	cycled=140533	insd=342049	cml2=858	bmd=11505
[685604.965882] cpu=0	jifd=27	cycled=259021	insd=269342	cml2=719	bmd=7969
[685605.073882] cpu=0	jifd=27	cycled=162792	insd=350087	cml2=1025	bmd=11199
[685605.181878] cpu=0	jifd=27	cycled=133523	insd=245152	cml2=520	bmd=6774
[685605.289885] cpu=0	jifd=27	cycled=135294	insd=303048	cml2=776	bmd=9372
[685605.397885] cpu=0	jifd=27	cycled=133617	insd=290401	cml2=615	bmd=9292
[685605.505883] cpu=0	jifd=27	cycled=138607	insd=338894	cml2=855	bmd=11298
[685605.613882] cpu=0	jifd=27	cycled=135678	insd=294536	cml2=682	bmd=9707
[685605.721882] cpu=0	jifd=27	cycled=147054	insd=405945	cml2=870	bmd=14153
[685605.829884] cpu=0	jifd=27	cycled=136150	insd=298783	cml2=775	bmd=9661
[685605.937877] cpu=0	jifd=27	cycled=134096	insd=282225	cml2=681	bmd=8506
[685606.045896] cpu=0	jifd=27	cycled=278545	insd=383543	cml2=889	bmd=13158
[685606.153876] cpu=0	jifd=27	cycled=161477	insd=350662	cml2=914	bmd=10847
[685606.261878] cpu=0	jifd=27	cycled=128289	insd=216241	cml2=400	bmd=5675
[685606.369883] cpu=0	jifd=27	cycled=131473	insd=283220	cml2=678	bmd=8614
[685606.477881] cpu=0	jifd=27	cycled=140507	insd=367670	cml2=842	bmd=12611
[685606.585868] cpu=0	jifd=27	cycled=137081	insd=299663	cml2=702	bmd=9427
[685606.693880] cpu=0	jifd=27	cycled=147651	insd=400605	cml2=941	bmd=13080
[685606.801881] cpu=0	jifd=27	cycled=139171	insd=331681	cml2=767	bmd=11510
[685606.909877] cpu=0	jifd=27	cycled=142530	insd=343011	cml2=733	bmd=11317
[685607.017880] cpu=0	jifd=27	cycled=136906	insd=311299	cml2=703	bmd=10453
[685607.125892] cpu=0	jifd=27	cycled=272836	insd=291906	cml2=856	bmd=8530
[685607.233880] cpu=0	jifd=27	cycled=143832	insd=254591	cml2=701	bmd=7358
[685607.341861] cpu=0	jifd=27	cycled=130466	insd=249845	cml2=684	bmd=7267
[685607.449902] cpu=0	jifd=27	cycled=131134	insd=276893	cml2=717	bmd=8559
[685607.557877] cpu=0	jifd=27	cycled=135913	insd=314387	cml2=754	bmd=10343
[685607.665881] cpu=0	jifd=27	cycled=152468	insd=437909	cml2=842	bmd=15020
[685607.773878] cpu=0	jifd=27	cycled=139315	insd=333271	cml2=766	bmd=11257
[685607.881878] cpu=0	jifd=27	cycled=144462	insd=348378	cml2=1786	bmd=11211
[685607.989874] cpu=0	jifd=27	cycled=141523	insd=310056	cml2=763	bmd=9687
[685608.097877] cpu=0	jifd=27	cycled=132015	insd=277046	cml2=692	bmd=8911
[685608.205886] cpu=0	jifd=27	cycled=290442	insd=435744	cml2=976	bmd=14229
[685608.313876] cpu=0	jifd=27	cycled=145400	insd=290430	cml2=814	bmd=8823
[685608.421869] cpu=0	jifd=27	cycled=136877	insd=328124	cml2=765	bmd=10131
[685608.529869] cpu=0	jifd=27	cycled=132520	insd=263518	cml2=797	bmd=7441
[685608.637882] cpu=0	jifd=27	cycled=173958	insd=647724	cml2=1982	bmd=22272
[685608.745888] cpu=0	jifd=27	cycled=145854	insd=363486	cml2=757	bmd=12224
[685608.853877] cpu=0	jifd=27	cycled=140849	insd=335982	cml2=735	bmd=10488
[685608.961873] cpu=0	jifd=27	cycled=131914	insd=261713	cml2=533	bmd=8158
[685609.069864] cpu=0	jifd=27	cycled=144543	insd=384999	cml2=779	bmd=12620
[685609.177869] cpu=0	jifd=27	cycled=328059	insd=2126410	cml2=9936	bmd=68158
[685609.285902] cpu=0	jifd=27	cycled=290618	insd=347628	cml2=883	bmd=11506
[685609.393873] cpu=0	jifd=27	cycled=152756	insd=360567	cml2=910	bmd=11256
[685609.501875] cpu=0	jifd=27	cycled=132957	insd=268904	cml2=661	bmd=7784
[685609.609868] cpu=0	jifd=27	cycled=148643	insd=437168	cml2=1218	bmd=14300
[685609.717868] cpu=0	jifd=27	cycled=134964	insd=266082	cml2=588	bmd=7763
[685609.825878] cpu=0	jifd=27	cycled=135718	insd=302493	cml2=621	bmd=9369
[685609.933873] cpu=0	jifd=27	cycled=127977	insd=234468	cml2=596	bmd=6741
[685610.041875] cpu=0	jifd=27	cycled=135629	insd=288763	cml2=615	bmd=8741
[685610.149870] cpu=0	jifd=27	cycled=133740	insd=288407	cml2=675	bmd=9252
[685610.257870] cpu=0	jifd=27	cycled=138594	insd=331519	cml2=620	bmd=10788
[685610.365918] cpu=0	jifd=27	cycled=283511	insd=309629	cml2=746	bmd=9248
[685610.473869] cpu=0	jifd=27	cycled=144000	insd=292049	cml2=766	bmd=8936
[685610.581858] cpu=0	jifd=27	cycled=139343	insd=351490	cml2=744	bmd=11437
[685610.689895] cpu=0	jifd=27	cycled=132026	insd=262007	cml2=704	bmd=7880
[685610.797870] cpu=0	jifd=27	cycled=137505	insd=320438	cml2=722	bmd=10229
[685610.905852] cpu=0	jifd=27	cycled=143995	insd=351064	cml2=822	bmd=11726
[685611.013850] cpu=0	jifd=27	cycled=142680	insd=350305	cml2=850	bmd=11816
[685611.121870] cpu=0	jifd=27	cycled=131716	insd=254056	cml2=637	bmd=7590
[685611.229871] cpu=0	jifd=27	cycled=132867	insd=291852	cml2=619	bmd=9743
[685611.337867] cpu=0	jifd=27	cycled=127244	insd=228204	cml2=574	bmd=6368
[685611.445863] cpu=0	jifd=27	cycled=274413	insd=251782	cml2=720	bmd=7268
[685611.553869] cpu=0	jifd=27	cycled=152568	insd=372450	cml2=953	bmd=11863
